time/ns	dene/cm-3
0.0	8.589752234000001e+20
0.010	8.58975292e+20
0.020	8.58975292e+20
0.030	8.58975292e+20
0.040	8.58975292e+20
0.050	8.589752939999999e+20
0.060	8.589756004e+20
0.070	8.589773249999999e+20
0.080	8.589842796000001e+20
0.090	8.590071082e+20
0.100	8.590602572000001e+20
0.110	8.591232087999999e+20
0.120	8.592305984000001e+20
0.130	8.593252536000001e+20
0.140	8.594773003999998e+20
0.150	8.596689259999999e+20
0.160	8.598468172000002e+20
0.170	8.60185958e+20
0.180	8.607363294e+20
0.190	8.608315540000001e+20
0.200	8.611050060000001e+20
0.210	8.614368429999999e+20
0.220	8.62475779e+20
0.230	8.626956232e+20
0.240	8.63842029e+20
0.250	8.636520538000002e+20
0.260	8.637443162e+20
0.270	8.64485992e+20
0.280	8.659244332e+20
0.290	8.669269661999999e+20
0.300	8.665295996000001e+20
0.310	8.676916944e+20
0.320	8.688858129999998e+20
0.330	8.687680444e+20
0.340	8.712794850000001e+20
0.350	8.736617665999999e+20
0.360	8.741522724e+20
0.370	8.751311384e+20
0.380	8.766823078000001e+20
0.390	8.785947268000002e+20
0.400	8.801604679999999e+20
0.410	8.822512295999997e+20
0.420	8.841948592000002e+20
0.430	8.864684402e+20
0.440	8.885091588e+20
0.450	8.90879089e+20
0.460	8.936702252e+20
0.470	8.960108158e+20
0.480	8.99329568e+20
0.490	9.022728453999999e+20
0.500	9.054068421999999e+20
0.510	9.087352122e+20
0.520	9.121361448000001e+20
0.530	9.15631695e+20
0.540	9.198303400000001e+20
0.550	9.240222050000001e+20
0.560	9.282826222e+20
0.570	9.337392134000002e+20
0.580	9.384456830000001e+20
0.590	9.616966362e+20
0.600	9.61912016e+20
0.610	9.310041746e+20
0.620	9.834608666e+20
0.630	9.877143054e+20
0.640	9.954294353999998e+20
0.650	9.467206434000002e+20
0.660	1.0123111692e+21
0.670	9.599502308000001e+20
0.680	9.434323374e+20
0.690	9.724408131999998e+20
0.700	1.0698590139999998e+21
0.710	1.0825875964000001e+21
0.720	9.702001122000001e+20
0.730	1.1123495422e+21
0.740	1.1301905268e+21
0.750	1.144426291e+21
0.760	1.1321697150000001e+21
0.770	1.0757736018e+21
0.780	1.1930766738e+21
0.790	1.1464350588e+21
0.800	1.356298756e+21
0.810	1.6567828206e+21
0.820	2.034573152e+21
0.830	2.345639642e+21
0.840	2.530202218e+21
0.850	2.678743674e+21
0.860	2.790164864e+21
0.870	2.924283774e+21
0.880	3.0386007280000004e+21
0.890	3.138999958e+21
0.900	3.2587462445999996e+21
0.910	3.3960448747999996e+21
0.920	3.569836728e+21
0.930	3.7403737839999994e+21
0.940	3.837071722e+21
0.950	3.9724901729999997e+21
0.960	4.1626278158000005e+21
0.970	4.368899872599999e+21
0.980	4.3424526456e+21
0.991	4.599576696999999e+21
1.000	4.9894974934e+21
1.010	5.137424173e+21
1.020	5.1709566416e+21
1.030	5.5788162806e+21
1.041	5.824748565999999e+21
1.050	6.0403274756e+21
1.060	6.0579638156e+21
1.070	6.4307811944e+21
1.080	6.645056044e+21
1.091	6.874668966e+21
1.100	7.114506129999998e+21
1.110	7.38424352e+21
1.120	7.677140268e+21
1.130	7.952503237999999e+21
1.140	8.261086727999999e+21
1.150	8.590147725999999e+21
1.160	8.903790547999999e+21
1.170	9.247176311999998e+21
1.181	9.601591887999999e+21
1.190	9.920633795999999e+21
1.200	1.031716984e+22
1.210	1.0687557136e+22
1.220	1.1117907079999999e+22
1.230	1.1531925954e+22
1.240	1.1972003492e+22
1.250	1.242957391e+22
1.261	1.297344562e+22
1.270	1.3479253017999998e+22
1.281	1.4081355507999999e+22
1.290	1.4645847581999996e+22
1.300	1.5309961388e+22
1.310	1.6011384253999999e+22
1.320	1.6752712586e+22
1.330	1.7632037131999997e+22
1.340	1.8572365422000001e+22
1.350	1.9578912616e+22
1.360	2.0657335312e+22
1.370	2.1933556740000003e+22
1.380	2.3313235808e+22
1.390	2.4786698688000002e+22
1.400	2.6636796046000003e+22
1.410	2.8789815324000003e+22
1.420	3.1471894014e+22
1.430	3.5125732582e+22
1.440	4.15030107e+22
1.450	5.6734331399999995e+22
1.460	6.35554747e+22
1.470	7.075175900000001e+22
1.480	7.890587082e+22
1.490	8.732233278e+22
1.500	9.4944779e+22
1.510	1.0241712394000002e+23
1.520	1.106936101e+23
1.530	1.1894368868e+23
1.540	1.271286762e+23
1.550	1.3649367599999999e+23
1.560	1.472822206e+23
1.570	1.6001993759999997e+23
1.580	1.7259598920000002e+23
1.590	1.882862838e+23
1.601	2.0750485819999996e+23
1.610	2.2502148319999998e+23
1.620	2.4549098000000003e+23
1.630	2.6750654459999998e+23
1.641	2.9622834059999996e+23
1.650	3.2679156360000005e+23
1.660	3.684221442e+23
1.670	4.175463022e+23
1.680	4.683422774e+23
1.690	5.2440503600000006e+23
1.700	5.868100354e+23
1.710	6.438182287999999e+23
1.720	7.066673456e+23
1.730	7.700000158e+23
1.740	8.338199874e+23
1.750	9.038401674000002e+23
1.760	9.694948316000001e+23
1.770	1.043221531e+24
1.780	1.119857426e+24
1.790	1.200588364e+24
1.800	1.296883682e+24
1.810	1.390930376e+24
1.820	1.471562982e+24
1.830	1.538213912e+24
1.840	1.5896867320000003e+24
1.850	1.627226732e+24
